category,project_name,url,description,last_tested,data_url
Federal - Executivo,Scraper do Portal da Transparência do Governo Federal,https://github.com/turicas/transparencia-gov-br,"Sraping de alguns dados do site http://transparencia.gov.br/download-de-dados. Extrai informalções relativas ao auxílio emergencial, orçamento e execução de despesas, pagamentos etc.",false,
Geral,Transparência dados Abertos Brasil,https://github.com/augusto-herrmann/transparencia-dados-abertos-brasil,"Levantamento de portais estaduais e municipais de transparência e dados abertos, bem como os portais institucionais, obtido a partir de diversas fontes públicas de dados. ",false,
Geral,Tá de Pé? - Dados,https://github.com/analytics-ufcg/ta-de-pe-dados,"Este repositório contém a camada de dados do Tá de Pé?. Esta camada, ilustrada na imagem abaixo, fornece meios para extração, processamento, e armazenamento de dados do TCE de dois estados brasileiros, Rio Grande do Sul e Pernambuco, e da Receita Federal.",false,
Geral,Base dos Dados,https://github.com/basedosdados/mais,"A missão da Base dos Dados é universalizar o uso de dados no Brasil. Acreditamos que a distância entre uma pessoa e uma análise deveria ser apenas uma boa ideia.  Para realizar essa visão, nós construímos a Base dos Dados Mais (BD+): um repositório integrado de dados. Essa ferramenta traz acesso, rapidez, escala, facilidade, economia, curadoria, e transparência ao cenário de dados no Brasil.  Todos os nossos dados ficam organizados e disponíveis na nuvem dentro da ferramenta da Google chamada BigQuery.  Uma simples consulta de SQL é o suficiente para cruzamento de bases que você desejar. Sem precisar procurar, baixar, tratar, comprar um servidor e subir clusters na nuvem.",false,
Estadual - SP,SSP transparência,https://github.com/eltermann/ssp-transparencia,"A Secretaria de Segurança Pública do estado de São Paulo disponibiliza dados sob a forma de tabelas em páginas web.  O presente software realiza a chamada ""raspagem"" desse conteúdo. Seu objetivo é automatizar a navegação nas páginas e gerar arquivos em um formato acessível para análise.",,
Estadual – PI,Transparência Ativa,https://github.com/luiscarlossf/transparencia-ativa,"O objetivo do projeto é apresentar dados de sentenças de improbidade expedidas no Piauí. O mapa mostra as cidades onde as sentenças foram proferidas, bem como informações sobre os processos.",,
Geral,Brazil Civil Registry Data,https://github.com/capyvara/brazil-civil-registry-data,"Raw scrapings of https://transparencia.registrocivil.org.br/  The idea is that if we minimize the number of people scraping their website, everyone will benefit, so this repo will try to keep fine grained data as possible. Due to the design of their website extracting detailed information may be costly.",,
Geral,Catálogos de dados abertos no Brasil,https://github.com/dadosgovbr/catalogos-dados-brasil,Um mapeamento de iniciativas (e catálogos) de dados abertos governamentais no Brasil.,,
Municipal – SP,Santos Transparência,https://github.com/supwr/santos-transparencia,"Projeto open source que visa permitir um melhor entendimento e leitura de informações disponibilizadas pela prefeitura de Santos-SP, no seu portal de transparência.",,
Federal – Executivo,raspafamilia,https://github.com/mtrpires/raspafamilia,"Raspador de dados do Portal da Transparência dos dados do programa Bolsa Família do governo federal Brasileiro, também conhecido como ""eu quero uma API para acessar o Portal da Transparência""",,
Geral,Colaboradados,https://github.com/colaboradados/colaboradados.github.io,O VEÍCULO COLABORATIVO SOBRE TRANSPARÊNCIA E OPEN DATA NO BRASIL.,,
Municipal – PR,Curitiba - Dados Abertos,https://github.com/CodeForCuritiba/ds-curitiba-dados-abertos,"Esse repositório visa abranger todos os dados do portal da transparência de maneira limpa e pronta para ser utilizada por programas de BI. O mesmo gera entregáveis que podem ser acessados facilmente na aba ""releases"" deste mesmo repositório. Este é um projeto piloto do code for Curitiba que visa utilizar técnicas de CI/CD.",,
Eleições,Propostas - eleições municipais 2020,https://github.com/Transparencia-Brasil/propostas-eleicoes-2020,,,
Federal – Legistlativo,Operação Serenata de Amor,https://github.com/okfn-brasil/serenata-de-amor,Artificial Intelligence for social control of public administration,,
Geral,Querido Diário,https://github.com/okfn-brasil/querido-diario,"Brazilian government gazettes, accessible to everyone. ",,
Saúde,covid19-br,https://github.com/turicas/covid19-br,"Esse repositório centraliza links e dados sobre boletins de número de casos das Secretarias Estaduais de Saúde (SES) sobre os casos de covid19 no Brasil (por município por dia), além de outros dados relevantes para a análise, como óbitos registrados em cartório (por estado por dia).",,
Federal – Executivo,Abrindo as contas do Governo Federal,https://github.com/theinterceptbr/portaldatransparencia,"Script de raspagem e consulta de gastos diretos do Governo Federal.  Raspagem e estruturação feita em Python, exportando os dados para CSV e SQLite.  Consultas em formato SQL.",,
Eleições,Eleições Brasil,https://github.com/turicas/eleicoes-brasil,"Scripts para capturar dados do Repositório de Dados Eleitorais do TSE, limpá-los, normalizá-los e agrupá-los ",,
Federal – Legislativo,Gastos Deputados,https://github.com/turicas/gastos-deputados,"Script que baixa, extrai e limpa dados de gastos da cota parlamentar ",,
Geral – Judiciário,Salários Magistrados – CNJ,https://github.com/turicas/salarios-magistrados,"Baixa as planilhas de salários de magistrados, extrai os contracheques, limpa e exporta pra CSV ",,
Geral,Sócios de Empresas Brasileiras,https://github.com/turicas/socios-brasil,"Script que baixa todos os dados de sócios das empresas brasileiras disponíveis no site da Receita Federal, extrai, limpa e converte para CSV. Para entender melhor sobre quais dados estão disponíveis, consulte a história desse dataset.",,
Municipal – SP,CETSP Folha De Pagamentos,https://github.com/alexbnkz/CETSP-Pagamentos,Extração de dados com Requests para listar pagamentos da CETSP ,,
Estadual – RJ,TCERJ,https://github.com/learning-crawlers/tcerj,Extração de dados com Selenium de contas irregulares no TCERJ ,,
Federal – Judiciário,STF Remuneração de Servidores,https://github.com/learning-crawlers/stf-remuneracao,Extração de dados com Beautiful Soup para listar a remuneração de Servidores ativos do STF,,
Federal – Executivo,Bolsa Familia,https://github.com/alexbnkz/bolsafamilia,Extração de dados com Requests para listar brasileiros do Bolsa Família ,,
Municipal – SP,SPTRANS Folha De Pagamentos,https://github.com/alexbnkz/SPTRANS-Pagamentos,Extração de dados com Requests para listar pagamentos da SPTRANS ,,
Municipal – RJ,Prefeitura do Rio de Janeiro Remuneração,https://github.com/alexbnkz/Prefeitura-Rio-de-Janeiro-Remuneracao,Extração de dados com Selenium + BeautifulSoup para listar pagamentos da Prefeitura do Rio de Janeiro ,,
Municipal – SP,FUNDATEC Folha De Pagamentos,https://github.com/alexbnkz/FUNDATEC-Pagamentos,"Extração de dados com Requests para listar pagamentos da FUNDATEC - Fundação Paulistana de Educação, Tecnologia e Cultura da cidade de São Paulo",,
Municipal – SP,Base de Compras e Licitacoes da Cidade de Sao Paulo,https://github.com/alexbnkz/Base-Compras-Licitacoes-Sao-Paulo,Extração de dados com Requests para listar Compras e Licitações da Cidade de São Paulo ,,
Geral,Dados Públicos CNPJ - Conversão para CSV/SQLITE e Consultas,https://github.com/fabioserpa/CNPJ-full,Utilitário em Python para ler os dados públicos do CNPJ disponibilizados pela Receita Federal e carregá-los em arquivos csv ou sqlite para fácil consumo. Também permite consultas com visualização interativa ou exportação para formatos diversos. Resources ,,
Estadual – SC,PARATEX,https://github.com/caravelahc/paratex,"O PARATEX (PARliamentary ATtendance EXtractor) visa extrair dados como a frequência de presença dos deputados de Santa Catarina em diferentes reuniões/assembleias.  O projeto foi iniciado através de uma ""Corrida de Canudos"", e continuado com mais atividade através de pequenos sprints promovidos pelo Caravela HC em conjunto com projetos como o EnsineBot.",,
Federal – Legislativo,Robops,https://github.com/RafaelEstevamReis/Robops,Bots e Scrips para OPS ,,
